Q96CU9,FOXRED1,Q16760,DGKD,Q96G25,MED8,,
Q69YN2,CWF19L1,Q01167,FOXK2,O43150,ASAP2,,
V9HWD3,HEL117,Q96LT7,C9orf72,A0A669KAV7,WIZ,,
A0A087WYQ1,SPTBN2,Q99941,ATF6B,Q00537,CDK17,,
Q6P2Q9,PRPF8,P51784,USP11,P08397,HMBS,,
Q6ZVM7,TOM1L2,A0A804HHY9,LRPPRC,Q15365,PCBP1,,
H0Y4W2,TRRAP,P83436,COG7,O95466,FMNL1,,
P35658,NUP214,P26232,CTNNA2,Q6NS36,FTH1,,
A0A8Q3SHZ3,PCNT,O75396,SEC22B,P45973,CBX5,,
A0A8C8QSB1,HLCS,,,Q13057,COASY,,
Q5JSH3,WDR44,,,Q14997,PSME4,,
Q14134,TRIM29,,,A0A8I5KWT8,MYH9,,
Q9Y6M7,SLC4A7,,,B4DJL6,INTS14,,
Q9H4L7,SMARCAD1,,,A0A8V8TMY4,PFKP,,
A0A1C7CYX9,DPYSL2,,,P11717,IGF2R,,
Q9NQW6,ANLN,,,A0A2L0RI76,IVD,,
A0A7I2V588,SGTA,,,O95782,AP2A1,,
B7ZMJ9,TACC2,,,Q9H7H0,METTL17,,
A0A0S2Z577,VPS33B,,,Q16698,DECR1,,
Q9HC52,CBX8,,,A0A8V8TMA8,SKIC3,,
Q06481,APLP2,,,P28838,LAP3,,
Q96TA1,NIBAN2,,,Q9NUL7,DDX28,,
Q9NZJ5,EIF2AK3,,,Q96HA1,POM121,,
A5HJR3,LOC126295,,,F8WE88,MYO5A,,
Q71U36,TUBA1A,,,A8K3R2,BOP1,,
Q9NUU7,DDX19A,,,Q13888,GTF2H2,,
A0A0S2Z377,ANXA6,,,Q9BV10,ALG12,,
Q8IYV2,DDX20,,,P01023,A2M,,
F5H619,HEATR5A,,,P43897,TSFM,,
A0A7I2V5A3,HGS,,,A0A994J6B4,FIP1L1,,
F5H2F4,MTHFD1,,,O75323,NIPSNAP2,,
A0A8B0RAT7,EDC4,,,Q9C0B5,ZDHHC5,,
Q8N3C0,ASCC3,,,A1L0T0,HACL2,,
P05165,PCCA,,,Q6ZSZ5,ARHGEF18,,
A0A2L0RI76,IVD,,,Q8N9B5,JMY,,
Q9H7Z3,NRDE2,,,,,,
Q96JM3,CHAMP1,,,,,,
F5H0R1,TUT1,,,,,,
I6L9E8,FAM98A,,,,,,
P50748,KNTC1,,,,,,
Q9P0L0,VAPA,,,,,,
A0A0A0MRJ1,CDC42BPA,,,,,,
A0A8V8TLP7,CLASP1,,,,,,
Q92547,TOPBP1,,,,,,
P53992,SEC24C,,,,,,
Q9BV10,ALG12,,,,,,
Q9BWT3,PAPOLG,,,,,,
O95639,CPSF4,,,,,,
E9PPP8,MTMR1,,,,,,
Q9H0A0,NAT10,,,,,,
O43776,NARS1,,,,,,
A1A5C4,RRBP1,,,,,,
Q9P000,COMMD9,,,,,,
P49321,NASP,,,,,,
F8W7C6,RPL10,,,,,,
