cell_line,condition,score,type,label
Hela,KO2,0.018697238,real,negative
PANC-1,OE1,0.023890937,real,negative
Hela,WT1,0.4882677,real,negative
PANC-1,OE1,0.026253127,real,negative
PANC-1,WT3,0.007198022,real,negative
PANC-1,WT3,0.850141,real,negative
PANC-1,OE3,0.06270948,real,negative
Hela,KO2,0.24148151,real,negative
PANC-1,WT1,0.29128516,real,negative
PANC-1,WT3,0.006921066,real,negative
Hela,WT2,0.44387716,real,negative
Hela,WT1,0.010021928,real,negative
Hela,WT2,0.94625574,real,negative
Hela,WT2,0.425764,real,negative
Hela,WT1,0.7024588,real,negative
Hela,KO1,0.23846063,real,negative
PANC-1,WT2,0.54935235,real,negative
PANC-1,OE2,0.007715259,real,negative
Hela,KO3,0.03291881,real,negative
PANC-1,OE3,0.025823988,real,negative
PANC-1,OE3,0.18459027,real,negative
Hela,WT2,0.11892122,real,negative
Hela,KO3,0.5804005,real,negative
Hela,WT2,0.002915498,real,negative
PANC-1,WT3,0.08958598,real,negative
Hela,KO1,0.15379412,real,negative
Hela,WT3,0.14475174,real,negative
Hela,KO1,0.15681963,real,negative
Hela,WT2,0.3019986,real,negative
PANC-1,WT2,0.000268018,real,negative
PANC-1,OE1,0.006390371,real,negative
Hela,WT1,0.39833233,real,negative
Hela,WT1,0.001945551,real,negative
PANC-1,OE1,0.018424993,real,negative
PANC-1,WT2,0.08373578,real,negative
PANC-1,OE1,0.008214194,real,negative
Hela,KO1,0.65356344,real,negative
Hela,KO1,0.2206664,real,negative
Hela,KO2,0.16423349,real,negative
Hela,KO2,0.004796316,real,negative
PANC-1,WT1,0.003608534,real,negative
Hela,KO3,0.21905386,real,negative
Hela,KO3,0.05502642,real,negative
Hela,KO3,0.004335862,real,negative
Hela,WT2,0.911919,real,negative
Hela,WT1,0.000449417,real,negative
Hela,KO2,0.7660274,real,negative
Hela,KO3,0.18304214,real,negative
Hela,WT1,0.0182195,real,negative
Hela,KO1,0.31321925,real,negative
PANC-1,WT2,0.018369207,real,negative
PANC-1,OE2,0.020243376,real,negative
Hela,KO3,0.88079566,real,negative
PANC-1,WT2,0.33583647,real,negative
Hela,WT2,0.10306576,real,negative
PANC-1,OE2,0.47133017,real,negative
Hela,KO2,0.6651515,real,negative
PANC-1,WT1,0.001839559,real,negative
Hela,KO2,0.5885674,real,negative
Hela,WT3,0.9291523,real,negative
PANC-1,OE3,0.04419905,real,negative
PANC-1,WT2,0.00315194,real,negative
Hela,KO3,0.00510791,real,negative
Hela,WT3,0.005927272,real,negative
PANC-1,WT2,0.001104185,real,negative
Hela,WT1,0.047765967,real,negative
Hela,KO2,0.004175475,real,negative
PANC-1,OE2,0.032676805,real,negative
Hela,KO3,0.73544097,real,negative
Hela,KO1,0.4134398,real,negative
Hela,KO1,0.014777298,real,negative
Hela,WT1,0.12602417,real,negative
Hela,KO2,0.19808917,real,negative
Hela,KO1,0.20650764,real,negative
Hela,KO1,0.011782189,real,negative
PANC-1,OE2,0.000993185,real,negative
Hela,KO1,0.031505264,real,negative
PANC-1,OE3,0.050879017,real,negative
Hela,WT3,0.015004018,real,negative
PANC-1,WT1,0.06610096,real,negative
Hela,KO1,0.19962324,real,negative
Hela,WT2,0.07057057,real,negative
Hela,WT3,0.8992958,real,positive
Hela,WT1,0.070184186,real,negative
Hela,WT3,0.95201457,real,positive
Hela,WT3,0.02806165,real,negative
Hela,KO1,0.30047646,real,negative
PANC-1,WT1,0.001336571,real,negative
Hela,WT2,0.21938343,real,negative
Hela,WT2,0.3649459,real,negative
Hela,KO2,0.35791138,real,negative
Hela,WT3,0.045749057,real,negative
Hela,WT3,0.27749032,real,negative
Hela,WT1,0.78435075,real,negative
PANC-1,WT2,0.050988622,real,negative
Hela,KO2,0.100471176,real,negative
Hela,KO2,0.1168913,real,negative
PANC-1,WT3,0.9396651,real,negative
Hela,KO1,0.81143636,real,negative
Hela,WT1,0.5052534,real,negative
Hela,KO3,0.045944393,real,negative
Hela,WT2,0.30255666,real,negative
Hela,KO3,0.6600091,real,negative
Hela,WT1,0.7425613,real,negative
PANC-1,WT2,0.001126445,real,negative
Hela,KO1,0.17912757,real,negative
PANC-1,WT1,0.15813892,real,negative
Hela,WT3,0.6944444,real,negative
Hela,KO1,0.9570938,real,negative
Hela,KO2,0.55918527,real,negative
Hela,KO3,0.85647655,real,negative
Hela,KO3,0.73178273,real,negative
Hela,WT1,0.98626024,real,negative
Hela,KO2,0.9731567,real,positive
Hela,WT2,0.54928917,real,negative
Hela,KO3,0.08441243,real,negative
PANC-1,OE3,0.04037144,real,negative
PANC-1,OE3,0.15282618,real,negative
Hela,WT1,0.45887452,real,negative
PANC-1,WT2,0.63775885,real,negative
PANC-1,OE1,0.011345304,real,negative
PANC-1,OE3,0.000166579,real,negative
Hela,KO2,0.0107091,real,negative
PANC-1,WT1,0.05181992,real,negative
PANC-1,WT2,0.01508699,real,negative
Hela,WT2,0.28780773,real,negative
PANC-1,OE2,0.005547362,real,negative
Hela,WT2,0.96527827,real,negative
PANC-1,OE1,0.24136072,real,negative
Hela,WT3,0.12141301,real,negative
Hela,WT2,0.026559632,real,negative
PANC-1,WT3,0.05309834,real,negative
Hela,KO3,0.000984315,real,negative
Hela,KO1,0.09955253,real,negative
Hela,WT1,0.5250182,real,negative
PANC-1,OE3,0.011545126,real,negative
Hela,WT2,0.38566005,real,negative
PANC-1,WT2,0.000780919,real,negative
Hela,KO1,0.22908308,real,negative
Hela,KO2,0.99642193,real,negative
PANC-1,OE3,0.2521897,real,negative
Hela,WT3,0.9739827,real,negative
PANC-1,OE3,0.14471474,real,negative
Hela,KO3,0.96212584,real,negative
PANC-1,OE3,0.014452477,real,negative
Hela,WT3,0.24715032,real,negative
PANC-1,WT3,0.005216822,real,negative
Hela,WT2,0.22958982,real,negative
Hela,KO3,0.41267255,real,negative
Hela,KO1,0.8520902,real,negative
Hela,KO1,0.68675923,real,negative
Hela,KO2,0.13444018,real,negative
Hela,KO3,0.18501906,real,negative
PANC-1,OE3,0.009005178,real,negative
Hela,KO3,0.9861362,real,positive
PANC-1,WT1,0.034271285,real,negative
Hela,WT1,0.32712746,real,negative
PANC-1,WT3,0.033243455,real,negative
PANC-1,OE3,0.03229599,real,negative
PANC-1,WT2,0.050702386,real,negative
Hela,KO2,0.011853377,real,negative
Hela,KO1,0.7573562,real,negative
PANC-1,OE2,0.004716469,real,negative
Hela,KO2,0.7234678,real,negative
Hela,WT1,0.035797823,real,negative
Hela,KO1,0.7267689,real,negative
PANC-1,OE2,0.017060336,real,negative
PANC-1,OE1,0.014695968,real,negative
Hela,WT1,0.5085212,real,negative
PANC-1,OE2,0.00179512,real,negative
PANC-1,WT2,0.32836214,real,negative
Hela,KO3,0.8793256,real,negative
PANC-1,OE2,0.003817033,real,negative
PANC-1,WT1,0.06217743,real,negative
PANC-1,OE2,0.16062076,real,negative
Hela,WT1,0.20160706,real,negative
PANC-1,WT1,0.07625255,real,negative
PANC-1,OE3,0.011818643,real,negative
Hela,WT2,0.12926936,real,negative
Hela,WT2,0.68031114,real,negative
Hela,KO1,0.17270374,real,negative
PANC-1,OE1,0.016077494,real,negative
Hela,KO3,0.96348685,real,positive
PANC-1,OE1,0.000497244,real,negative
Hela,KO1,0.077123806,real,negative
PANC-1,WT1,0.21226697,real,negative
PANC-1,OE1,0.005005722,real,negative
Hela,KO2,0.177959,real,negative
Hela,WT1,0.9284738,real,negative
PANC-1,OE3,0.011740766,real,negative
Hela,WT1,0.25210008,real,negative
PANC-1,WT3,0.00141544,real,negative
Hela,WT1,0.017605668,real,negative
PANC-1,WT2,0.001188744,real,negative
PANC-1,WT2,0.028512837,real,negative
PANC-1,WT1,0.121057265,real,negative
PANC-1,WT3,0.07585285,real,negative
Hela,KO3,0.18316294,real,negative
PANC-1,WT3,0.00463446,real,negative
Hela,KO1,0.4790304,real,negative
PANC-1,WT1,0.03733005,real,negative
PANC-1,WT3,0.14226209,real,negative
Hela,WT2,0.1838001,real,negative
Hela,KO2,0.9394931,real,negative
Hela,KO3,0.14356375,real,negative
PANC-1,WT3,0.000221016,real,negative
PANC-1,OE3,0.041960232,real,negative
PANC-1,WT2,0.1559315,real,negative
PANC-1,OE2,0.038858745,real,negative
PANC-1,OE3,0.060546435,real,negative
Hela,KO1,0.023831379,real,negative
PANC-1,WT2,0.4216187,real,negative
Hela,KO2,0.9748512,real,negative
PANC-1,WT3,0.05365369,real,negative
Hela,WT3,0.9561734,real,positive
PANC-1,WT2,0.011602014,real,negative
Hela,WT2,0.23506954,real,negative
Hela,WT2,0.036946382,real,negative
Hela,WT1,0.22134386,real,negative
Hela,WT1,0.3884422,real,negative
Hela,KO1,0.057088885,real,negative
Hela,WT1,0.24666218,real,negative
PANC-1,WT1,0.22422026,real,negative
Hela,KO3,0.3733827,real,negative
Hela,WT3,0.012808715,real,negative
PANC-1,WT2,0.008299722,real,negative
PANC-1,WT1,0.17666733,real,negative
PANC-1,OE2,0.22494294,real,negative
PANC-1,WT1,0.022752773,real,negative
Hela,WT3,0.8318445,real,negative
PANC-1,WT3,0.001146512,real,negative
Hela,WT1,0.4019936,real,negative
Hela,WT3,0.005356097,real,negative
PANC-1,OE3,0.02779883,real,negative
PANC-1,WT2,0.023301031,real,negative
PANC-1,WT1,0.06153771,real,negative
PANC-1,OE2,0.060888022,real,negative
Hela,KO3,0.21547289,real,negative
Hela,KO2,0.015738329,real,negative
Hela,WT3,0.39133778,real,negative
Hela,WT1,0.089239605,real,negative
Hela,KO3,0.31749514,real,negative
Hela,KO3,0.1614711,real,negative
PANC-1,WT2,0.23920798,real,negative
PANC-1,WT1,0.021664152,real,negative
PANC-1,WT3,0.3342264,real,negative
Hela,WT3,0.007789907,real,negative
Hela,WT3,0.02049927,real,negative
Hela,WT3,0.33086094,real,negative
Hela,KO2,0.027677402,real,negative
PANC-1,OE3,0.006429272,real,negative
Hela,WT2,0.58185214,real,negative
PANC-1,OE3,0.03812645,real,negative
PANC-1,OE3,0.77192134,real,negative
PANC-1,OE2,0.000574561,real,negative
Hela,WT3,0.013167692,real,negative
Hela,KO2,0.17279708,real,negative
Hela,WT2,0.92494035,real,negative
Hela,WT2,0.09405513,real,negative
Hela,WT1,0.1727147,real,negative
PANC-1,WT2,0.027199933,real,negative
PANC-1,WT2,0.025310189,real,negative
PANC-1,WT3,0.00330359,real,negative
Hela,KO3,0.6799369,real,negative
Hela,WT1,0.009883835,real,negative
PANC-1,WT3,0.041619476,real,negative
Hela,WT1,0.5859518,real,negative
PANC-1,WT3,0.00589764,real,negative
Hela,KO1,0.2951907,real,negative
PANC-1,WT3,0.011810032,real,negative
Hela,KO2,0.024365027,real,negative
Hela,WT2,0.93556404,real,negative
PANC-1,WT2,0.33235976,real,negative
PANC-1,OE2,0.022346154,real,negative
PANC-1,WT3,0.032790408,real,negative
Hela,WT3,0.90843874,real,negative
Hela,KO3,0.039345827,real,negative
Hela,WT3,0.03681092,real,negative
Hela,KO3,0.5876389,real,negative
Hela,WT2,0.08182262,real,negative
Hela,KO2,0.21773084,real,negative
Hela,WT1,0.11838677,real,negative
PANC-1,OE1,0.002685883,real,negative
Hela,KO3,0.49578977,real,negative
PANC-1,OE1,0.2234312,real,negative
Hela,WT1,0.37537828,real,negative
Hela,KO2,0.006223153,real,negative
PANC-1,OE1,0.15754843,real,negative
Hela,KO2,0.72370845,real,negative
PANC-1,OE2,0.21824741,real,negative
PANC-1,WT2,0.005162887,real,negative
Hela,WT2,0.06361749,real,negative
Hela,WT2,0.8848173,real,negative
PANC-1,WT1,0.00369329,real,negative
PANC-1,WT1,0.07116406,real,negative
PANC-1,WT3,0.008234033,real,negative
Hela,KO1,0.026070029,real,negative
Hela,KO3,0.42059588,real,negative
PANC-1,WT2,0.000742502,real,negative
Hela,KO2,0.05251844,real,negative
PANC-1,WT2,0.002373461,real,negative
Hela,KO1,0.42358804,real,negative
Hela,KO3,0.075000525,real,negative
PANC-1,WT3,0.26368728,real,negative
PANC-1,OE2,0.065895386,real,negative
PANC-1,WT2,0.019805558,real,negative
Hela,WT1,0.021198416,real,negative
PANC-1,WT3,0.09459332,real,negative
Hela,KO1,0.4980427,real,negative
Hela,KO3,0.5324711,real,negative
Hela,KO1,0.056050472,real,negative
Hela,WT2,0.90800893,real,negative
Hela,WT2,0.5991545,real,negative
Hela,WT1,0.03819407,real,negative
Hela,KO3,0.053356595,real,negative
PANC-1,OE2,0.010225204,real,negative
PANC-1,OE2,0.011422587,real,negative
Hela,WT1,0.020340528,real,negative
Hela,WT3,0.012898107,real,negative
PANC-1,WT2,0.20657378,real,negative
PANC-1,OE1,0.005006304,real,negative
PANC-1,OE2,0.20394461,real,negative
PANC-1,WT2,0.3446042,real,negative
PANC-1,WT3,0.018922511,real,negative
PANC-1,WT2,0.008364859,real,negative
Hela,KO2,0.17504086,real,negative
PANC-1,WT2,0.000282127,real,negative
Hela,KO1,0.8831807,real,negative
PANC-1,OE2,0.006868376,real,negative
PANC-1,OE1,0.08373508,real,negative
PANC-1,OE1,0.028711613,real,negative
PANC-1,WT2,0.000899758,real,negative
PANC-1,WT2,0.08798999,real,negative
PANC-1,WT2,0.02437954,real,negative
Hela,WT2,0.18654884,real,negative
PANC-1,WT2,0.03609505,real,negative
Hela,KO1,0.26235783,real,negative
Hela,KO1,0.18271637,real,negative
PANC-1,OE1,0.008211494,real,negative
Hela,KO3,0.051414937,real,negative
Hela,KO3,0.71567726,real,negative
PANC-1,OE1,0.00616803,real,negative
PANC-1,OE1,0.021337789,real,negative
PANC-1,WT2,0.034736063,real,negative
Hela,WT3,0.7637387,real,negative
Hela,WT1,0.500012,real,negative
Hela,WT2,0.25175273,real,negative
Hela,WT3,0.2276386,real,negative
Hela,WT3,0.14002633,real,negative
PANC-1,OE3,0.004707644,real,negative
Hela,WT2,0.2043255,real,negative
PANC-1,OE1,0.03885997,real,negative
PANC-1,OE3,0.05214862,real,negative
PANC-1,WT3,0.04509148,real,negative
Hela,WT1,0.27862373,real,negative
Hela,WT1,0.48017654,real,negative
PANC-1,WT1,0.019857476,real,negative
PANC-1,OE2,0.000724335,real,negative
Hela,WT1,0.2525215,real,negative
PANC-1,WT3,0.000183021,real,negative
PANC-1,WT1,0.000822258,real,negative
Hela,WT2,0.023914011,real,negative
Hela,KO3,0.21892445,real,negative
Hela,KO2,0.34978423,real,negative
Hela,WT1,0.0625965,real,negative
Hela,KO1,0.2924121,real,negative
PANC-1,OE2,0.001238937,real,negative
Hela,KO3,0.07969816,real,negative
Hela,WT3,0.037967134,real,negative
PANC-1,OE1,0.008023493,real,negative
Hela,KO1,0.31153926,real,negative
Hela,KO1,0.947781,real,negative
PANC-1,OE1,0.020240834,real,negative
Hela,WT1,0.96249735,real,negative
PANC-1,OE1,0.16030657,real,negative
PANC-1,WT3,0.004715141,real,negative
Hela,WT1,0.22671634,real,negative
PANC-1,WT1,0.000254388,real,negative
Hela,KO3,0.91238874,real,negative
Hela,KO3,0.002541731,real,negative
Hela,KO3,0.07899061,real,negative
Hela,WT1,0.65108067,real,negative
Hela,KO3,0.09879714,real,negative
PANC-1,WT2,0.004464266,real,negative
PANC-1,WT2,0.060131736,real,negative
PANC-1,OE1,0.003429329,real,negative
PANC-1,OE3,0.016642418,real,negative
PANC-1,OE1,0.023840047,real,negative
Hela,WT3,0.7386367,real,negative
Hela,WT1,0.69954026,real,negative
PANC-1,OE2,0.25176963,real,negative
PANC-1,OE1,0.005696007,real,negative
Hela,WT2,0.09281365,real,negative
Hela,WT3,0.006248468,real,negative
PANC-1,WT1,0.011062678,real,negative
Hela,KO2,0.038139746,real,negative
PANC-1,OE1,0.13765112,real,negative
PANC-1,OE2,0.082019754,real,negative
Hela,KO3,0.062824816,real,negative
PANC-1,WT2,0.0326525,real,negative
Hela,KO2,0.33720997,real,negative
Hela,WT1,0.03678917,real,negative
PANC-1,OE2,0.006814196,real,negative
Hela,KO1,0.055115007,real,negative
Hela,WT1,0.004458075,real,negative
PANC-1,WT3,0.052285545,real,negative
PANC-1,WT1,0.12733991,real,negative
Hela,WT1,0.06315532,real,negative
PANC-1,WT1,0.002059315,real,negative
PANC-1,OE1,0.003472716,real,negative
PANC-1,WT1,0.005064725,real,negative
PANC-1,WT3,0.18052636,real,negative
Hela,WT2,0.07701948,real,negative
Hela,WT1,0.38360304,real,negative
Hela,WT3,0.09362763,real,negative
Hela,WT3,0.034546737,real,negative
PANC-1,WT1,0.013253642,real,negative
PANC-1,OE2,0.12213304,real,negative
Hela,KO2,0.10431249,real,negative
Hela,WT3,0.78433794,real,negative
PANC-1,WT3,0.004256557,real,negative
PANC-1,WT3,0.15313512,real,negative
Hela,WT3,0.36517897,real,negative
Hela,KO2,0.9558564,real,positive
Hela,WT2,0.645106,real,negative
Hela,KO2,0.92126614,real,negative
Hela,WT3,0.023579068,real,negative
PANC-1,OE1,0.02102668,real,negative
Hela,KO3,0.017485294,real,negative
PANC-1,WT2,0.002055468,real,negative
PANC-1,WT1,0.16994914,real,negative
Hela,KO2,0.006778805,real,negative
PANC-1,WT2,0.039241605,real,negative
Hela,WT2,0.70762837,real,negative
PANC-1,OE2,0.004157275,real,negative
PANC-1,OE3,0.28856763,real,negative
Hela,KO3,0.019646337,real,negative
Hela,KO3,0.04694675,real,negative
PANC-1,OE3,0.5019561,real,negative
PANC-1,OE2,0.004161916,real,negative
PANC-1,WT3,0.42360345,real,negative
Hela,KO2,0.9988951,real,positive
Hela,WT3,0.11173774,real,negative
PANC-1,OE3,0.7515563,real,negative
Hela,KO2,0.8064872,real,negative
PANC-1,WT3,0.16117759,real,negative
Hela,KO2,0.02542071,real,negative
Hela,WT1,0.81120646,real,negative
Hela,WT2,0.008069098,real,negative
PANC-1,OE3,0.15621643,real,negative
PANC-1,WT3,0.002795682,real,negative
Hela,WT1,0.24000832,real,negative
PANC-1,OE3,0.043315236,real,negative
PANC-1,WT1,0.045993038,real,negative
PANC-1,WT2,0.000852301,real,negative
Hela,KO3,0.4093464,real,negative
Hela,WT2,0.28649142,real,negative
PANC-1,OE2,0.003229008,real,negative
PANC-1,OE2,0.26358116,real,negative
Hela,WT1,0.33226666,real,negative
PANC-1,OE2,0.010886574,real,negative
Hela,KO1,0.9809831,real,positive
Hela,WT2,0.57479125,real,negative
Hela,WT1,0.0766382,real,negative
PANC-1,OE1,0.025889667,real,negative
PANC-1,OE1,0.026436856,real,negative
PANC-1,WT3,0.07108508,real,negative
PANC-1,OE3,0.000359151,real,negative
PANC-1,WT2,0.015642416,real,negative
Hela,KO3,0.06377362,real,negative
Hela,WT1,0.7540852,real,negative
Hela,KO3,0.022681182,real,negative
Hela,WT1,0.33052465,real,negative
PANC-1,OE2,0.000559873,real,negative
Hela,KO2,0.1207536,real,negative
PANC-1,OE1,0.10175461,real,negative
PANC-1,WT3,0.12135022,real,negative
Hela,WT3,0.23672388,real,negative
Hela,WT1,0.49800757,real,negative
PANC-1,OE2,0.020608984,real,negative
PANC-1,OE3,0.40070605,real,negative
PANC-1,OE2,0.029124089,real,negative
Hela,WT1,0.21019416,real,negative
PANC-1,WT1,0.008216474,real,negative
PANC-1,OE2,0.14462943,real,negative
PANC-1,WT3,0.001283967,real,negative
Hela,KO2,0.05720921,real,negative
PANC-1,WT3,0.059596848,real,negative
Hela,KO2,0.3390472,real,negative
PANC-1,WT1,0.014117735,real,negative
Hela,KO2,0.7366426,real,negative
PANC-1,WT2,0.012926234,real,negative
Hela,WT2,0.2645314,real,negative
Hela,KO1,0.8163016,real,negative
Hela,WT2,0.2663123,real,negative
PANC-1,WT1,0.14588141,real,negative
Hela,WT1,0.74111676,real,negative
Hela,KO1,0.911612,real,negative
PANC-1,WT3,0.001963681,real,negative
PANC-1,WT3,0.62168914,real,negative
Hela,WT3,0.021576785,real,negative
Hela,KO3,0.14855996,real,negative
PANC-1,OE1,0.05550726,real,negative
PANC-1,OE3,0.002542165,real,negative
Hela,KO1,0.002645521,real,negative
Hela,KO1,0.7992377,real,negative
Hela,WT3,0.172777,real,negative
PANC-1,WT1,0.058713697,real,negative
PANC-1,WT3,0.18955491,real,negative
PANC-1,WT2,0.032042287,real,negative
Hela,WT3,0.099535584,real,negative
PANC-1,OE1,0.013183738,real,negative
Hela,KO1,0.044673234,real,negative
PANC-1,OE3,0.01588034,real,negative
Hela,KO1,0.24664736,real,negative
PANC-1,OE3,0.13667904,real,negative
PANC-1,OE3,0.020285249,real,negative
PANC-1,OE1,0.002593915,real,negative
Hela,WT3,0.0315745,real,negative
PANC-1,OE2,0.10658523,real,negative
Hela,WT2,0.784199,real,negative
Hela,WT3,0.79172164,real,negative
Hela,KO1,0.035170726,real,negative
Hela,WT2,0.5809446,real,negative
PANC-1,OE2,0.020284975,real,negative
PANC-1,OE2,0.04452876,real,negative
PANC-1,WT2,0.21786292,real,negative
Hela,KO1,0.29156867,real,negative
PANC-1,WT1,0.057826012,real,negative
PANC-1,WT2,0.03769255,real,negative
Hela,WT3,0.03042467,real,negative
Hela,WT3,0.5020913,real,negative
Hela,WT1,0.009772592,real,negative
PANC-1,WT1,0.020354271,real,negative
Hela,WT3,0.7668886,real,negative
PANC-1,WT3,0.000432022,real,negative
Hela,WT2,0.35438597,real,negative
PANC-1,OE2,0.004471722,real,negative
PANC-1,OE1,0.000630372,real,negative
PANC-1,OE2,0.04206297,real,negative
Hela,WT1,0.9679777,real,negative
PANC-1,WT2,0.002582475,real,negative
PANC-1,WT1,0.7670672,real,negative
Hela,KO3,0.13905425,real,negative
Hela,WT2,0.106872216,real,negative
Hela,WT1,0.010239885,real,negative
PANC-1,OE2,0.04026794,real,negative
Hela,KO2,0.006225132,real,negative
PANC-1,OE2,0.1755178,real,negative
PANC-1,OE1,0.024473358,real,negative
Hela,WT3,0.72934484,real,negative
PANC-1,WT1,0.116017945,real,negative
PANC-1,WT3,0.014828173,real,negative
PANC-1,OE2,0.007192512,real,negative
PANC-1,OE1,0.001788453,real,negative
Hela,WT2,0.27438518,real,negative
PANC-1,WT1,0.25159234,real,negative
Hela,KO3,0.90508556,real,positive
PANC-1,OE3,0.023196703,real,negative
Hela,KO2,0.13249609,real,negative
Hela,WT1,0.16315238,real,negative
Hela,KO2,0.11503043,real,negative
PANC-1,WT3,0.004296586,real,negative
PANC-1,OE2,0.010883072,real,negative
Hela,WT1,0.9375942,real,negative
Hela,KO3,0.005640338,real,negative
Hela,WT3,0.2846573,real,negative
Hela,KO2,0.5633834,real,negative
Hela,WT3,0.8399896,real,negative
PANC-1,WT3,0.010805083,real,negative
Hela,WT1,0.14469592,real,negative
PANC-1,OE3,0.011448477,real,negative
Hela,WT3,0.5333459,real,negative
PANC-1,OE2,0.24079807,real,negative
Hela,WT3,0.6943489,real,negative
Hela,KO3,0.02999987,real,negative
Hela,WT2,0.03882727,real,negative
Hela,KO1,0.21362187,real,negative
Hela,WT3,0.6761668,real,negative
PANC-1,OE2,0.000151989,real,negative
Hela,KO2,0.031080307,real,negative
Hela,KO2,0.13976958,real,negative
Hela,WT2,0.61837214,real,negative
Hela,KO3,0.84475416,real,negative
PANC-1,WT3,0.009870853,real,negative
PANC-1,OE1,0.009422421,real,negative
PANC-1,WT3,0.000675092,real,negative
Hela,WT1,0.11790483,real,negative
PANC-1,OE2,0.006753425,real,negative
PANC-1,OE1,0.009126456,real,negative
PANC-1,OE2,0.004214045,real,negative
Hela,KO2,0.052783318,real,negative
PANC-1,OE1,0.00592057,real,negative
PANC-1,OE1,0.007834892,real,negative
Hela,WT2,0.06745384,real,negative
PANC-1,WT3,0.025771977,real,negative
Hela,WT2,0.2868586,real,negative
Hela,KO1,0.051524673,real,negative
Hela,WT1,0.58836746,real,negative
PANC-1,WT3,0.048206657,real,negative
PANC-1,OE1,0.001408935,real,negative
PANC-1,WT2,0.05097506,real,negative
PANC-1,OE1,0.010018512,real,negative
Hela,KO3,0.015551926,real,negative
PANC-1,WT1,0.050649423,real,negative
PANC-1,OE3,0.00369068,real,negative
PANC-1,OE2,0.001324466,real,negative
Hela,WT1,0.03179147,real,negative
Hela,KO3,0.37986267,real,negative
PANC-1,WT2,0.017045118,real,negative
Hela,WT2,0.83273685,real,negative
PANC-1,WT3,0.59847003,real,negative
Hela,KO2,0.0989458,real,negative
PANC-1,WT2,0.005556703,real,negative
PANC-1,OE3,0.0664344,real,negative
Hela,KO2,0.4342323,real,negative
PANC-1,WT3,0.46380627,real,negative
Hela,WT3,0.2621984,real,negative
PANC-1,OE1,0.037880875,real,negative
Hela,WT1,0.4116352,real,negative
Hela,WT1,0.76583916,real,negative
PANC-1,WT3,0.03882645,real,negative
Hela,KO1,0.9264059,real,negative
PANC-1,WT2,0.025713455,real,negative
Hela,KO3,0.7220049,real,negative
Hela,WT1,0.047436945,real,negative
Hela,WT3,0.09036391,real,negative
Hela,WT3,0.1964187,real,negative
Hela,WT1,0.019368978,real,negative
Hela,KO1,0.026737206,real,negative
PANC-1,WT3,0.000675071,real,negative
Hela,WT2,0.0445973,real,negative
PANC-1,WT2,0.000870103,real,negative
Hela,KO2,0.09769894,real,negative
Hela,WT3,0.8271674,real,negative
PANC-1,OE3,0.034406763,real,negative
Hela,WT2,0.10874963,real,negative
Hela,WT2,0.13762861,real,negative
PANC-1,OE3,0.000873158,real,negative
Hela,KO1,0.32916293,real,negative
PANC-1,WT2,0.023652196,real,negative
Hela,KO3,0.3160313,real,negative
PANC-1,OE2,0.01907754,real,negative
Hela,WT1,0.03864135,real,negative
Hela,WT3,0.8804336,real,negative
PANC-1,WT3,0.021579443,real,negative
PANC-1,WT2,0.004508932,real,negative
PANC-1,OE3,0.044627603,real,negative
Hela,KO2,0.329507,real,negative
PANC-1,WT3,0.2474803,real,negative
PANC-1,WT2,0.000144007,real,negative
Hela,KO3,0.06011061,real,negative
PANC-1,WT3,0.22773008,real,negative
PANC-1,OE1,0.03697106,real,negative
Hela,KO3,0.51829517,real,negative
Hela,WT3,0.91342825,real,negative
Hela,WT3,0.6846757,real,negative
PANC-1,WT3,0.034098234,real,negative
Hela,WT3,0.25637415,real,negative
PANC-1,OE1,0.027584886,real,negative
Hela,WT3,0.73987436,real,negative
Hela,KO2,0.9645199,real,negative
PANC-1,OE1,0.16687296,real,negative
Hela,KO1,0.70640665,real,negative
Hela,KO3,0.10875016,real,negative
PANC-1,OE2,0.012467136,real,negative
Hela,KO3,0.7660272,real,negative
PANC-1,WT1,0.09462444,real,negative
PANC-1,WT2,0.000683154,real,negative
Hela,WT2,0.5469633,real,negative
PANC-1,WT1,0.02878332,real,negative
PANC-1,OE2,0.1420716,real,negative
PANC-1,WT2,0.000511631,real,negative
Hela,WT3,0.12600976,real,negative
PANC-1,OE3,0.17437111,real,negative
PANC-1,OE1,0.03534467,real,negative
PANC-1,WT3,0.20347326,real,negative
Hela,WT1,0.041775413,real,negative
Hela,WT1,0.89869446,real,negative
Hela,KO3,0.7498086,real,negative
Hela,WT3,0.12695278,real,negative
PANC-1,WT3,0.003766815,real,negative
Hela,WT2,0.33751905,real,negative
Hela,KO1,0.59552693,real,negative
Hela,KO1,0.8205631,real,negative
PANC-1,OE2,0.04856495,real,negative
PANC-1,OE1,0.000955163,real,negative
Hela,WT2,0.019009458,real,negative
Hela,WT3,0.32708368,real,negative
Hela,WT1,0.9317374,real,negative
PANC-1,OE1,0.006319803,real,negative
Hela,WT1,0.47132933,real,negative
Hela,KO1,0.018836819,real,negative
PANC-1,WT2,0.001648048,real,negative
PANC-1,OE3,0.121326596,real,negative
Hela,WT3,0.16897619,real,negative
PANC-1,WT2,0.02487575,real,negative
Hela,KO1,0.03502441,real,negative
PANC-1,WT2,0.033681408,real,negative
Hela,KO3,0.9770735,real,negative
Hela,WT1,0.9742914,real,negative
PANC-1,WT2,0.001173833,real,negative
Hela,KO2,0.10297451,real,negative
